,LISTING_URL,MAKE,PRICE,DEPRE_VALUE_PER_YEAR,REG_DATE,ENGINE_CAP_CC,MILEAGE_KM,VEHICLE_TYPE
126,https://www.sgcarmart.com/used_cars/info.php?ID=919814&DL=1195,Hyundai,69800,7370.0,23-Apr-2019,1591,17142.0,Mid-Sized Sedan
127,https://www.sgcarmart.com/used_cars/info.php?ID=926784&DL=3758,Honda,54800,6400.0,28-Jul-2009,2354,,Luxury Sedan
128,https://www.sgcarmart.com/used_cars/info.php?ID=926652&DL=1344,Nissan,64800,8840.0,31-Mar-2017,1197,34954.0,SUV
129,https://www.sgcarmart.com/used_cars/info.php?ID=914010&DL=3722,Toyota,69800,7350.0,29-Mar-2019,1496,22613.0,Mid-Sized Sedan
130,https://www.sgcarmart.com/used_cars/info.php?ID=926697&DL=3376,BMW,228888,19900.0,24-Jul-2020,1998,3000.0,Mid-Sized Sedan
131,https://www.sgcarmart.com/used_cars/info.php?ID=924853&DL=1194,Toyota,38800,7930.0,02-Aug-2010,1987,,MPV
132,https://www.sgcarmart.com/used_cars/info.php?ID=924655&DL=2341,Honda,23800,9290.0,05-Apr-2008,1799,,MPV
133,https://www.sgcarmart.com/used_cars/info.php?ID=926659&DL=2855,Toyota,80800,11910.0,28-Jan-2016,2362,,MPV
134,https://www.sgcarmart.com/used_cars/info.php?ID=926717&DL=1000,Kia,78888,8210.0,19-Mar-2019,1591,17800.0,Mid-Sized Sedan
135,https://www.sgcarmart.com/used_cars/info.php?ID=925433&DL=1189,BMW,99800,9970.0,27-Jun-2012,2497,120000.0,Sports Car
136,https://www.sgcarmart.com/used_cars/info.php?ID=926674&DL=1005,Volkswagen,98800,10040.0,09-Jul-2019,1197,12000.0,Hatchback
137,https://www.sgcarmart.com/used_cars/info.php?ID=923232&DL=1104,Audi,76800,12850.0,29-Jan-2015,1984,82838.0,Luxury Sedan
138,https://www.sgcarmart.com/used_cars/info.php?ID=926770&DL=3417,Lexus,24800,9420.0,24-Jun-2008,2500,,Luxury Sedan
139,https://www.sgcarmart.com/used_cars/info.php?ID=919893&DL=2447,Hyundai,49800,6250.0,25-Aug-2017,1591,43803.0,Mid-Sized Sedan
